snippet_id,file_path,language,primary_label,is_clean,has_off_by_one,has_incorrect_conditional,has_array_length_index_misuse,pair_group,pair_role,source_type,notes,line_count,char_count,parse_crashed,parse_completeness,has_error_nodes,error_node_count,missing_node_count,unstable_span_count,class_declaration_count,method_declaration_count,local_variable_declaration_count,return_statement_count,while_statement_count,assignment_expression_count,binary_expression_count,max_ast_depth,ast_node_count,for_statement_count,loop_condition_contains_lt,loop_condition_contains_leq,loop_condition_contains_gt,loop_condition_contains_geq,loop_condition_contains_length,loop_condition_off_by_one_pattern_count,for_node_with_array_access_count,max_for_loop_body_size,if_statement_count,assignment_inside_if_condition_count,equality_in_if_condition_count,boolean_literal_in_if_condition_count,logical_operator_in_if_condition_count,array_access_count,array_index_uses_length_directly_count,array_index_uses_length_expression_count,unique_arrays_accessed_count
off_by_one_bug_001,data/ml/raw_snippets/off_by_one/buggy/OffByOneBug001.java,java,OFF_BY_ONE_LOOP_BOUNDARY,0,1,0,0,pair_001,buggy,manual_curated,classic <= arr.length loop boundary bug,11,262,0,1.0,0,0,0,0,1,1,2,0,0,0,1,11,106,1,1,1,0,0,1,1,1,20,0,0,0,0,0,1,0,0,1
off_by_one_fix_001,data/ml/raw_snippets/off_by_one/fixed/OffByOneFix001.java,java,NO_ISSUE,1,0,0,0,pair_001,fixed,manual_curated,corrected with < arr.length,11,261,0,1.0,0,0,0,0,1,1,2,0,0,0,1,11,106,1,1,0,0,0,1,0,1,20,0,0,0,0,0,1,0,0,1
off_by_one_bug_002,data/ml/raw_snippets/off_by_one/buggy/OffByOneBug002.java,java,OFF_BY_ONE_LOOP_BOUNDARY,0,1,0,0,pair_002,buggy,manual_curated,reverse-style loop still uses <= length,11,293,0,1.0,0,0,0,0,1,1,2,0,0,0,2,12,114,1,1,1,0,0,1,1,1,26,0,0,0,0,0,1,0,0,1
off_by_one_fix_002,data/ml/raw_snippets/off_by_one/fixed/OffByOneFix002.java,java,NO_ISSUE,1,0,0,0,pair_002,fixed,manual_curated,corrected loop boundary,11,292,0,1.0,0,0,0,0,1,1,2,0,0,0,2,12,114,1,1,0,0,0,1,0,1,26,0,0,0,0,0,1,0,0,1
off_by_one_bug_003,data/ml/raw_snippets/off_by_one/buggy/OffByOneBug003.java,java,OFF_BY_ONE_LOOP_BOUNDARY,0,1,0,0,pair_003,buggy,manual_curated,sum loop with <= values.length,14,313,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,120,1,1,1,0,0,1,1,1,13,0,0,0,0,0,1,0,0,1
off_by_one_fix_003,data/ml/raw_snippets/off_by_one/fixed/OffByOneFix003.java,java,NO_ISSUE,1,0,0,0,pair_003,fixed,manual_curated,corrected sum loop,14,312,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,120,1,1,0,0,0,1,0,1,13,0,0,0,0,0,1,0,0,1
incorrect_cond_bug_001,data/ml/raw_snippets/incorrect_conditional_operator/buggy/IncorrectConditionalBug001.java,java,INCORRECT_CONDITIONAL_OPERATOR,0,0,1,0,pair_004,buggy,manual_curated,assignment used in if condition,12,333,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,99,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
incorrect_cond_fix_001,data/ml/raw_snippets/incorrect_conditional_operator/fixed/IncorrectConditionalFix001.java,java,NO_ISSUE,1,0,0,0,pair_004,fixed,manual_curated,uses == instead of =,13,350,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
incorrect_cond_bug_002,data/ml/raw_snippets/incorrect_conditional_operator/buggy/IncorrectConditionalBug002.java,java,INCORRECT_CONDITIONAL_OPERATOR,0,0,1,0,pair_005,buggy,manual_curated,boolean assignment inside condition,11,276,0,1.0,0,0,0,0,1,1,1,0,0,1,0,11,79,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
incorrect_cond_fix_002,data/ml/raw_snippets/incorrect_conditional_operator/fixed/IncorrectConditionalFix002.java,java,NO_ISSUE,1,0,0,0,pair_005,fixed,manual_curated,boolean comparison form,11,277,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,79,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
incorrect_cond_bug_003,data/ml/raw_snippets/incorrect_conditional_operator/buggy/IncorrectConditionalBug003.java,java,INCORRECT_CONDITIONAL_OPERATOR,0,0,1,0,pair_006,buggy,manual_curated,score assignment in condition,12,305,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
incorrect_cond_fix_003,data/ml/raw_snippets/incorrect_conditional_operator/fixed/IncorrectConditionalFix003.java,java,NO_ISSUE,1,0,0,0,pair_006,fixed,manual_curated,score comparison in condition,13,321,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
array_index_bug_001,data/ml/raw_snippets/array_length_index_misuse/buggy/ArrayIndexBug001.java,java,ARRAY_LENGTH_INDEX_MISUSE,0,0,0,1,pair_007,buggy,manual_curated,arr[arr.length] misuse,9,226,0,1.0,0,0,0,0,1,1,1,0,0,0,0,10,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
array_index_fix_001,data/ml/raw_snippets/array_length_index_misuse/fixed/ArrayIndexFix001.java,java,NO_ISSUE,1,0,0,0,pair_007,fixed,manual_curated,arr[arr.length - 1] correction,9,231,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
array_index_bug_002,data/ml/raw_snippets/array_length_index_misuse/buggy/ArrayIndexBug002.java,java,ARRAY_LENGTH_INDEX_MISUSE,0,0,0,1,pair_008,buggy,manual_curated,names[names.length] misuse,9,241,0,1.0,0,0,0,0,1,1,1,0,0,0,0,10,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
array_index_fix_002,data/ml/raw_snippets/array_length_index_misuse/fixed/ArrayIndexFix002.java,java,NO_ISSUE,1,0,0,0,pair_008,fixed,manual_curated,names[names.length - 1] correction,9,245,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
array_index_bug_003,data/ml/raw_snippets/array_length_index_misuse/buggy/ArrayIndexBug003.java,java,ARRAY_LENGTH_INDEX_MISUSE,0,0,0,1,pair_009,buggy,manual_curated,direct use of values.length as index,10,266,0,1.0,0,0,0,0,1,1,2,0,0,0,0,9,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
array_index_fix_003,data/ml/raw_snippets/array_length_index_misuse/fixed/ArrayIndexFix003.java,java,NO_ISSUE,1,0,0,0,pair_009,fixed,manual_curated,corrected last valid index,10,270,0,1.0,0,0,0,0,1,1,2,0,0,0,1,9,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
off_by_one_bug_004,data/ml/raw_snippets/off_by_one/buggy/OffByOneBug004.java,java,OFF_BY_ONE_LOOP_BOUNDARY,0,1,0,0,pair_010,buggy,manual_curated,copy loop uses <= data.length,10,250,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,109,1,1,1,0,0,1,1,1,17,0,0,0,0,0,2,0,0,2
off_by_one_fix_004,data/ml/raw_snippets/off_by_one/fixed/OffByOneFix004.java,java,NO_ISSUE,1,0,0,0,pair_010,fixed,manual_curated,copy loop corrected with < data.length,10,249,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,109,1,1,0,0,0,1,0,1,17,0,0,0,0,0,2,0,0,2
off_by_one_bug_005,data/ml/raw_snippets/off_by_one/buggy/OffByOneBug005.java,java,OFF_BY_ONE_LOOP_BOUNDARY,0,1,0,0,pair_011,buggy,manual_curated,character loop uses <= word.length,9,229,0,1.0,0,0,0,0,1,1,2,0,0,0,1,11,92,1,1,1,0,0,1,1,1,20,0,0,0,0,0,1,0,0,1
off_by_one_fix_005,data/ml/raw_snippets/off_by_one/fixed/OffByOneFix005.java,java,NO_ISSUE,1,0,0,0,pair_011,fixed,manual_curated,character loop corrected with < word.length,9,228,0,1.0,0,0,0,0,1,1,2,0,0,0,1,11,92,1,1,0,0,0,1,0,1,20,0,0,0,0,0,1,0,0,1
off_by_one_bug_006,data/ml/raw_snippets/off_by_one/buggy/OffByOneBug006.java,java,OFF_BY_ONE_LOOP_BOUNDARY,0,1,0,0,pair_012,buggy,manual_curated,search loop uses <= marks.length,14,336,0,1.0,0,0,0,0,1,1,3,0,0,1,2,12,122,1,1,1,0,0,1,1,1,29,1,0,0,0,0,2,0,0,1
off_by_one_fix_006,data/ml/raw_snippets/off_by_one/fixed/OffByOneFix006.java,java,NO_ISSUE,1,0,0,0,pair_012,fixed,manual_curated,search loop corrected with < marks.length,14,335,0,1.0,0,0,0,0,1,1,3,0,0,1,2,12,122,1,1,0,0,0,1,0,1,29,1,0,0,0,0,2,0,0,1
incorrect_cond_bug_004,data/ml/raw_snippets/incorrect_conditional_operator/buggy/IncorrectConditionalBug004.java,java,INCORRECT_CONDITIONAL_OPERATOR,0,0,1,0,pair_013,buggy,manual_curated,boolean assignment inside if using score comparison,12,306,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
incorrect_cond_fix_004,data/ml/raw_snippets/incorrect_conditional_operator/fixed/IncorrectConditionalFix004.java,java,NO_ISSUE,1,0,0,0,pair_013,fixed,manual_curated,boolean assigned before if condition,13,321,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
incorrect_cond_bug_005,data/ml/raw_snippets/incorrect_conditional_operator/buggy/IncorrectConditionalBug005.java,java,INCORRECT_CONDITIONAL_OPERATOR,0,0,1,0,pair_014,buggy,manual_curated,boolean assignment inside if using role check,12,330,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,99,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
incorrect_cond_fix_005,data/ml/raw_snippets/incorrect_conditional_operator/fixed/IncorrectConditionalFix005.java,java,NO_ISSUE,1,0,0,0,pair_014,fixed,manual_curated,role check assigned before if condition,13,350,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
incorrect_cond_bug_006,data/ml/raw_snippets/incorrect_conditional_operator/buggy/IncorrectConditionalBug006.java,java,INCORRECT_CONDITIONAL_OPERATOR,0,0,1,0,pair_015,buggy,manual_curated,boolean assignment inside if using parity check,12,311,0,1.0,0,0,0,0,1,1,2,0,0,1,2,11,96,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
incorrect_cond_fix_006,data/ml/raw_snippets/incorrect_conditional_operator/fixed/IncorrectConditionalFix006.java,java,NO_ISSUE,1,0,0,0,pair_015,fixed,manual_curated,parity check assigned before if condition,13,328,0,1.0,0,0,0,0,1,1,2,0,0,1,2,11,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
array_index_bug_004,data/ml/raw_snippets/array_length_index_misuse/buggy/ArrayIndexBug004.java,java,ARRAY_LENGTH_INDEX_MISUSE,0,0,0,1,pair_016,buggy,manual_curated,direct last value access uses numbers.length,10,276,0,1.0,0,0,0,0,1,1,2,0,0,0,0,9,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
array_index_fix_004,data/ml/raw_snippets/array_length_index_misuse/fixed/ArrayIndexFix004.java,java,NO_ISSUE,1,0,0,0,pair_016,fixed,manual_curated,last value access corrected with numbers.length - 1,10,280,0,1.0,0,0,0,0,1,1,2,0,0,0,1,10,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
array_index_bug_005,data/ml/raw_snippets/array_length_index_misuse/buggy/ArrayIndexBug005.java,java,ARRAY_LENGTH_INDEX_MISUSE,0,0,0,1,pair_017,buggy,manual_curated,grades.length stored then used directly as index,10,269,0,1.0,0,0,0,0,1,1,2,0,0,0,0,9,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
array_index_fix_005,data/ml/raw_snippets/array_length_index_misuse/fixed/ArrayIndexFix005.java,java,NO_ISSUE,1,0,0,0,pair_017,fixed,manual_curated,grades.length - 1 stored as valid last index,10,274,0,1.0,0,0,0,0,1,1,2,0,0,0,1,9,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
array_index_bug_006,data/ml/raw_snippets/array_length_index_misuse/buggy/ArrayIndexBug006.java,java,ARRAY_LENGTH_INDEX_MISUSE,0,0,0,1,pair_018,buggy,manual_curated,direct string array access with letters.length,9,252,0,1.0,0,0,0,0,1,1,1,0,0,0,0,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
array_index_fix_006,data/ml/raw_snippets/array_length_index_misuse/fixed/ArrayIndexFix006.java,java,NO_ISSUE,1,0,0,0,pair_018,fixed,manual_curated,string array access corrected with letters.length - 1,9,256,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
